13640.5;(-3.48194,-0.734024,-6.48755);(-0.74613,-0.168786,0.64405);neutron
13837.7;(3.03866,-3.50416,-8.13255);(0.467242,-0.814172,0.344687);neutron
14681.2;(1.66193,-0.291064,-14.7067);(0.444091,0.111297,-0.889042);neutron
14583.6;(-1.86736,3.42187,-13.1311);(-0.210088,0.627239,-0.749956);neutron
13723.3;(0.576196,4.30938,-7.53074);(-0.0306678,0.854988,0.51774);neutron
14269.6;(-4.44907,-1.48455,-11.7326);(-0.923408,-0.244022,-0.296262);neutron
14399.3;(-4.24343,-1.44066,-12.2176);(-0.795521,-0.363341,-0.484901);neutron
14466.8;(-4.16486,-0.615806,-12.6972);(-0.794691,-0.171469,-0.582293);neutron
14245.2;(4.58005,1.60294,-11.2057);(0.911038,0.319568,-0.260551);neutron
14741.8;(-0.612387,0.346143,-14.9503);(-0.222465,0.00914788,-0.974898);neutron
13436.9;(0.602771,-0.292686,-5.0451);(0.155072,-0.242701,0.957627);neutron
13727.5;(1.69079,-3.95201,-7.44601);(0.466477,-0.721725,0.511383);neutron
13694.2;(1.59333,3.61436,-6.93443);(0.291512,0.774023,0.562059);neutron
13453.2;(1.16924,-0.590496,-5.17463);(0.248712,-0.262093,0.932443);neutron
13966.5;(-4.90892,-0.714179,-9.3735);(-0.980629,-0.124198,0.151463);neutron
14681;(1.56891,0.405336,-14.7301);(0.457894,0.0230224,-0.888709);neutron
14032.9;(3.27282,3.77213,-9.7557);(0.52589,0.848927,0.0525594);neutron
13997.6;(4.00972,-2.92812,-9.40986);(0.744836,-0.65893,0.105025);neutron
13491.6;(-0.945445,2.02381,-5.52671);(-0.370553,0.317283,0.872939);neutron
14467.8;(-3.73091,-0.147145,-13.3255);(-0.811688,-0.0170497,-0.583842);neutron
14150.9;(2.22684,4.42196,-10.6981);(0.322128,0.938802,-0.121997);neutron
14659.3;(-1.76267,-1.7864,-14.3246);(-0.485382,-0.168607,-0.85789);neutron
13958.7;(4.79196,-1.22956,-9.27524);(0.982795,-0.0866488,0.163111);neutron
14325.4;(-1.94649,4.15236,-11.9923);(-0.350363,0.857117,-0.377619);neutron
13695.6;(3.89587,-0.0931127,-6.86735);(0.824822,0.078304,0.559944);neutron
13869.3;(0.66148,-4.7604,-8.62122);(0.0248184,-0.954534,0.297067);neutron
13471.9;(0.664196,1.52724,-5.28551);(0.226056,0.364283,0.903436);neutron
13420.8;(-0.279911,-1.21101,-5.15695);(-0.0915894,-0.160911,0.98271);neutron
14365.3;(4.10515,-1.925,-12.1076);(0.80687,-0.399074,-0.435547);neutron
13658.3;(2.85293,2.61672,-6.83558);(0.611728,0.49529,0.616827);neutron
13506.5;(-2.78958,0.650183,-5.90176);(-0.43465,0.297998,0.849868);neutron
14286.6;(3.35602,-3.31168,-11.6643);(0.646388,-0.692184,-0.321034);neutron
13825.4;(-1.67021,-4.43489,-8.40559);(-0.24956,-0.897675,0.363178);neutron
13452.3;(-1.32255,-2.15699,-5.68743);(-0.110647,-0.34051,0.933708);neutron
14643.3;(1.63124,1.51662,-14.4765);(0.38146,0.396201,-0.835172);neutron
13848.3;(-0.372493,4.73818,-8.4473);(0.112434,0.937706,0.328733);neutron
