Ejection Angle,Neutron Energy,Reaction Label,Intensities
50.0,0.7489337377636508,"Si29(a,n)S32",0.9219305158624691
51.0,0.7465190683804394,"Si29(a,n)S32",0.9190712443355935
52.0,0.7440776808279045,"Si29(a,n)S32",0.9161775501512583
53.0,0.7416106225520207,"Si29(a,n)S32",0.9132505819477017
54.0,0.7391189446275549,"Si29(a,n)S32",0.91029149645132
55.0,0.7366037010512536,"Si29(a,n)S32",0.9073014577941048
56.0,0.7340659480423473,"Si29(a,n)S32",0.9042816368308194
57.0,0.7315067433510966,"Si29(a,n)S32",0.901233210456553
58.0,0.7289271455760956,"Si29(a,n)S32",0.898157360925305
59.0,0.7263282134910204,"Si29(a,n)S32",0.8950552751702424
60.0,0.72371100538149,"Si29(a,n)S32",0.8919281441262854
61.0,0.7210765783926818,"Si29(a,n)S32",0.8887771620556564
62.0,0.7184259878883263,"Si29(a,n)S32",0.8856035258770428
63.0,0.7157602868216685,"Si29(a,n)S32",0.8824084344990122
64.0,0.7130805251189704,"Si29(a,n)S32",0.8791930881583099
65.0,0.7103877490760971,"Si29(a,n)S32",0.875958687763676
66.0,0.7076830007686989,"Si29(a,n)S32",0.8727064342457965
67.0,0.704967317476481,"Si29(a,n)S32",0.8694375279140116
68.0,0.7022417311220224,"Si29(a,n)S32",0.8661531678203838
69.0,0.6995072677245688,"Si29(a,n)S32",0.8628545511317165
70.0,0.6967649468692146,"Si29(a,n)S32",0.859542872510125
71.0,0.6940157811918342,"Si29(a,n)S32",0.8562193235027147
72.0,0.6912607758801222,"Si29(a,n)S32",0.8528850919409444
73.0,0.6885009281910442,"Si29(a,n)S32",0.8495413613502112
74.0,0.6857372269849927,"Si29(a,n)S32",0.8461893103701915
75.0,0.6829706522769028,"Si29(a,n)S32",0.8428301121864634
76.0,0.6802021748045494,"Si29(a,n)S32",0.8394649339738942
77.0,0.6774327556142297,"Si29(a,n)S32",0.8360949363522926
78.0,0.6746633456639946,"Si29(a,n)S32",0.8327212728547786
79.0,0.6718948854445633,"Si29(a,n)S32",0.8293450894093138
80.0,0.6691283046180403,"Si29(a,n)S32",0.8259675238338273
81.0,0.6663645216745028,"Si29(a,n)S32",0.8225897053453243
